Муниципалитет;Полное наименование;ОГРН;ИНН;КПП;ПФР;ОКПО;ОКОГУ;ОКФС;ОКОПФ;Индекс;Область;Район;Населённый пункт;Район города;Улица;Дом;Телефон;E-mail;Расчётный счёт;В банке;БИК;Директор (ФИО, им.падеж);Директор (ФИО, род.падеж);Действует на основании (род.падеж);Отв. за заказ (ФИО);Отв. за заказ (Должность);Отв. за заказ (Телефон);Администратор школы;Лицевой счет в банке;Статус школы;ID
246;МОУ НОШ с. Красная Долина;1,03E+12;7531002217;753101001;;;;;;673008;209;Петровск-Забайкальский район;с. Красная Долина;;ул. Молодежная;1 а;3,02E+15;shn_krdl.petz@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005870;1;245
246;МОУ НОШ с. Кули;1,03E+12;7531002577;753101001;;;;;;673041;209;Петровск-Забайкальский район;с. Кули;;ул. Школьная;7;3023642-3-86( администрация);;4,07E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;20916Ч75990;1;234
246;МОУ СОШ с. Малета;1,03E+12;7531002104;753101001;;;;;;673014;209;Петровск-Забайкальский район;с. Малета;;ул. Комсомольская;44;3023641124;shs_malt.petz@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005870;1;249
246;МОУ СОШ п.Новопавловка;1,03E+12;7517001324;753101001;;;;;;673030;209;Петровск-Забайкальский район;п. Новопавловка;;ул. Чапаева;19;3023649181, 49184, 49174;shs_novp.petz@zabedu.ru;4,07E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;20916Ч35680;1;235
246;МОУ НОШ с. Обор;1,05E+12;7531003676;753101001;;;;;;673000;209;Петровск-Забайкальский район;с. Обор;;ул. Центральная;52;3023646-1-93;shn_obor.petz@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005870;1;243
246;МОУ НОШ с. Орсук;1,03E+12;7531002986;753101001;;;;;;673000;209;Петровск-Забайкальский район;с. Орсук;;ул. Трактовая;18;3023643-360;shn_orsk.petz@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005870;1;244
246;МОУ СОШ с. Хохотуй;1,03E+12;7531002337;753101001;;;;;;673045;209;Петровск-Забайкальский район;с. Хохотуй;;ул. Рабочая;29Г;3023647-1-07;ciber60@list.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005870;1;237
246;МОУ ООШ с.Толбага;1,03E+12;7531002320;753101001;;;;;;673035;209;Петровск-Забайкальский район;с. Толбага;;ул. Станционная;28;"302364-60-17 (Администрация сельского поселения ""Толбаг";1962karpova@mail.ru;4,07E+19;Отделение Чита г.Чита;;;;;;;;;20916Ч 6898;1;231
246;МОУ ООШ с. Харауз;1,03E+12;7531002993;753101001;;;;;;673025;209;Петровск-Забайкальский район;с. Харауз;;ул. Школьная;4;3023648147;shs_harz.petz@zabedu.ru;4,07E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;20916Ч40730;1;238
247;МОУ Молодежнинская СОШ;1,03E+12;7518002056;751801002;;;;;;674321;210;Приаргунский район; с. Молодежный;; ул. Молодежная;25;3023633185;schoolmolod1@rambler.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;40204810000;1;252
247;МБОУ Быркинская СОШ;1,03E+12;7518004600;751801001;;;;;;674330;210;Приаргунский район; с. Бырка;; ул. 2-я Нагорная;1;3024361184;bs-1999@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;258
247;МОУ Норинская НОШ;1,03E+12;7518004991;751801001;;;;;;674310;210;Приаргунский район; с. Норинск;; ул. Школьная;8;30243;norinsk@bk.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;267
247;МБОУ Новоцурухайтуйская СОШ;1,03E+12;7518004462;751801001;;;;;;674333;210;Приаргунский район; с. Новоцурухайтуй;; ул. Лазо;78;3024330336;novo_school@bk.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;251
247;МОУ Кличкинская СОШ;1,03E+12;7518005018;751801001;;;;;;674320;210;Приаргунский район; п. Кличка;; ул. Ленина;18;3024343144;klichka@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;263
247;МБОУ Зоргольская СОШ имени Героя Советского Союза Н.П. Губина с кадетскими классами;1,03E+12;7518004737;751801001;;;;;;674325;210;Приаргунский район; с. Зоргол;; ул. Школьная;9;3024338116;zorgol_sch81@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;253
247;МБОУ Погадаевская СОШ;1,03E+12;7518001341;751801001;;;;;;674316;210;Приаргунский район; с. Погадаево;; ул. Школьная;19;3024334124;pogodaevo2007@rambler.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913003460;1;256
247;МБОУ Досатуйская средняя общеобразовательная школа;1,03E+12;7518004720;751801001;;;;;;674313;210;Приаргунский район; п. Досатуй;; ул. Юбилейная;1;3024351137;dosatuy_giorgievna.pr@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;254
247;МОУ Селиндинская НОШ;1,03E+12;7518004705;751801001;;;;;;674312;210;Приаргунский район; с. Селинда;; ул. Школьная;1;3024363103;selinda_school@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;259
247;МБОУ Староцурухайтуйская СОШ;1,03E+12;7518004712;751801001;;;;;;674335;210;Приаргунский район; с. Староцурухайтуй;; ул. Партизан Шестаковых; 4а;3024332118;ikustva@rambler.ru;4,02E+19;0;;;;;;;;;0;1;255
247;МОУ Пограничнинская СОШ;1,03E+12;7518004688;751801001;;;;;;674332;210;Приаргунский район; с. Пограничный;;;;3024339110;moypogr@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;262
247;МБОУ Новоивановская ООШ;1,03E+12;7518004582;751801001;;;;;;674320;210;Приаргунский район;с. Новоивановка;; ул. Школьная;5;3,02E+15;sho_nivn.prrg@zabedu.ru;4,07E+19;отделение №8600 Сбербанка России г.Чита;;;;;;;;;20916Ч72250;1;268
247;МБОУ Дуройская СОШ;1,03E+12;7518004776;751801001;;;;;;674319;210;Приаргунский район; с. Дурой;; ул. Набережная;31;3024337152;durojskaya-shkola@yandex.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;261
247;МБОУ Усть-Тасуркайская ООШ;1,03E+12;7518004590;751801001;;;;;;674315;210;Приаргунский район; с. Усть-Тасуркай;; ул. Центральная;80;3024351239;tasurkaj_sch@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;264
247;МБОУ Уланская ООШ;1,03E+12;7518004550;751801001;;;;;;674331;210;Приаргунский район; с. Улан;; ул. Горная;19;3024335110;ulanschool@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;260
247;МБОУ Приаргунская средняя общеобразовательная школа;1,03E+11;7518004624;751801001;;;;;;674310;210;Приаргунский район; п. Приаргунск;; ул. Губина;11;3024321364, 21277, 21854;priarg-school2015@yandex.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;265
247;МБОУ Талман-Борзинская ООШ;1,03E+12;7518004695;751801001;;;;;;674310;210;Приаргунский район; с. Талман-Борзя;; ул. Юбилейная;22;3024336118;mou-talman@mail.ru;4,07E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;20916Ч69070;1;266
247;МБОУ Урулюнгуйская СОШ имени Г.Н. Аксенова;1,03E+12;7518004511;751801001;;;;;;674314;210;Приаргунский район; с. Урулюнгуй;; ул. Аксенова;28;3024341144;urul2016@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;0;1;257
223;МОУ Агинская СОШ № 1;1,07E+12;8001011627;800101001;;;;;;687000;186;Агинское (пгт);п.Агинское;;ул.Бадмажабэ;4;3024334049;assch1@mail.ru;4,07E+19;В ГРКЦ ГУ Банка России по Заб.краю;;;;;;;;;20916ц72950;1;567
223;МОУ Агинская СОШ № 2;1,03E+12;8001004387;800101001;;;;;;687000;186;Агинское (пгт);п.Агинское;;ул.Базара Ринчино;90;302393-45-25;abaoassh2@mail.ru;4,07E+19;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;;20916У74610;1;568
223;МОУ Агинская СОШ № 3;1,07E+12;8001011930;800101001;;;;;;687000;186;Агинское (пгт);п.Агинское;;ул.Ленина;116;3023934729, 3-45-25;shs_agns_03.aginskoe;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;;3913026290;1;569
223;МОУ «АСОШ №4» ГО «Поселок Агинское»;1,07E+12;8001011779;800101001;;;;;;687000;186;Агинское (пгт);п.Агинское;;ул. Ранжурова;25е;302393-48-89, 3-56-85;asosh4@gmail.com;4,02E+19;ГРКЦ ГУ Банк России по Забайкальскому краю;;;;;;;;;3913026320;1;570
223;МБОУ «Агинская окружная гимназия-интернат»;1,03E+12;8001005567;800101001;;;;;;687000;186;Агинское (пгт);п.Агинское;;ул. Бадмажабэ;2;3023935041;gimn.abao@mail.ru;4,02E+19;ГУ ГРКЦ Банка России по Забайкальскому краю;;;;;;;;;3913026270;1;571
223;МБОУ «АО(С)ОШ»;1,07E+12;8001001850;800101001;;;;;;687000;186;Агинское (пгт);п.Агинское;;ул.Базара;25;3023937170, 35005;avechsh@mail.ru;4,02E+19;в Отделении по Агинскому Бурятскому округу УФК по Забайкальскому краю;;;;;;;;;3913026280;1;575
224;Комитет образования администрации муниципального района «Акшинский район»;1,11E+12;7501003051;750101001;;;;;;674230;187;Акшинский район;с. Акша;;ул. Ононская;46;3023931330;mouo.aksh@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913026630;1;479
224;МБОО СОШ с. Могойтуй;1,03E+12;7501002058;750101001;;;;;;674243;187;Акшинский район;с. Могойтуй;; ул. Школьная;2;3023135517;shs_mogt.aksh@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913007590;1;437
224;МБОУ «ООШ с. Усть-Иля»;1,03E+12;7501002026;750101001;;;;;;674244;187;Акшинский район;с. Усть-Иля;; ул. Школьная;1;3023135149;ust674244@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913007640;1;436
224;МБОУ ООШ с. Улача;1,12E+12;7501003090;750101001;;;;;;674232;187;Акшинский район;с. Улача;;ул. Юбилейная;;302318(30231)34429;shs_ulch.aksh@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913030970;1;431
224;МБОУ ООШ с. Тохтор;1,03E+12;7501001107;750101001;;;;;;674240;187;Акшинский район;с. Тохтор;;ул. Школьная;3;3023134921;sho_toht.aksh@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913007620;1;433
224;МБОУ «СОШ с. Акша»;1,05E+12;7501002474;750101001;;;;;;674230;187;Акшинский район;с. Акша;;ул. Почтовая;27;3023131809, 31813;aksha-school@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913007570;1;427
224;МБОУ «СОШ с. Нарасун»;1,03E+12;7501001985;750101001;;;;;;674233;187;Акшинский район;с. Нарасун;;ул. Комсомольская;9;3023134168;shs_nars.aksh@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913007600;1;429
224;МБОУ «ООШ с. Курулга»;1,03E+12;7501003164;750101001;;;;;;674234;187;Акшинский район;с. Курулга;; ул. Школьная;4а;3023136224;shs_kurl.aksh@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913007580;1;428
224;МБОУ «ООШ с. Новокургатай»;1,12E+12;7501003100;750101001;;;;;;674245;187;Акшинский район;с. Новокургатай;;ул. Центральная;118;3023134753, 34744;shs_nkur.aksh@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913030980;1;435
224;МБОО ООШ с. Орой;1,03E+12;7501002001;750101001;;;;;;674242;187;Акшинский район;с. Орой;;ул. Молодежная;15;3023135418;sho_oroj.aksh@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913007540;1;434
224;МБОУ «СОШ с. Урейск»;1,03E+12;7501002019;750101001;;;;;;674221;187;Акшинский район;с. Урейск;;ул. Центральная;55;3023134518;ureysk674221@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913007650;1;430
224;МБОУ «НОШ с. Убур-Тохтор»;1,03E+12;7501001978;750101001;;;;;;674241;187;Акшинский район;с. Убур-Тохтор;; ул. Нагорная;;3023134244;sho_ubrt.aksh@zabedu.ru;4,07E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;20916Ч64550;1;582
224;МОУ НОШ с. Такеча;1,03E+12;7501002097;750101001;;;;;;674232;187;Акшинский район;с. Такеча;;;;3023136534;shn_tkch.aksh@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913007510;1;583
224;МБОО ООШ с. Бытэв;1,03E+12;7501002114;750101001;;;;;;674235;187;Акшинский район;с. Бытэв;;ул. Школьная;1;3023135644;bitev674235@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913007530;1;432
225;Отдел образования Александрово-Заводского района;1,03E+12;7502000977;750201001;;;;;;674640;188;Александрово-Заводский район;с. Алек-Завод;;ул. Комсомольская;5;3023121144;mouo.alkz@zabedu.ru;;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;;1;480
225;МОУ Кузнецовская ООШ;1,03E+12;7502001515;750201001;;;;;;674643;188;Александрово-Заводский район;с. Кузнецово;;ул. Школьная;23;3024042312;kuznecovskaja.shkol@rambler.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;20916Ч28950;1;69
225;МОО Верх-Аленуйская НОШ;1,15E+12;7502002847;750201001;;;;;;674642;188;Александрово-Заводский район;с. Верх-Аленуй;;ул. Центральная;;3024020111;schoolva58@mail.ru;4,07E+19;Отделение Чита г.Чита;;;;;;;;;21916Щ47980;1;66
225;МОУ Ново-Акатуйская СОШ;1,03E+12;7502001547;750201001;;;;;;674638;188;Александрово-Заводский район;с. Новый Акатуй;;улю.Комсомольская;13А;3024048226;chkolana@yandex.ru;4,07E+19;Отделение Чита, город Чита;;;;;;;;;-;1;63
225;МОУ Первококуйская ООШ;1,03E+12;7502001635;750201001;;;;;;674643;188;Александрово-Заводский район;с. Кокуй-1;;ул. Новая;;3024040018;ban9225@yandex.ru;4,02E+19;ГРКЦ ГУ Банк Росси по Забайкальскому краю;;;;;;;;;3913024800;1;57
225;МОУ Александрово-Заводская СОШ;1,03E+12;7502001480;750201001;;;;;;674640;188;Александрово-Заводский район;с. Александровский Завод;;ул. Косяковича;5;3024021408;Luda-2000@yandex.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913001780;1;72
225;МОУ Васильевско-Хуторская ООШ;1,03E+12;7502001508;750201001;;;;;;674635;188;Александрово-Заводский район;с. Васильевский Хутор;;ул. Нагорная;15;3,02E+15;laperdinahutor@rambler.ru;4,07E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;20916428980;1;54
225;МОУ Бохтинская СОШ;1,03E+12;7502001473;750201001;;;;;;674642;188;Александрово-Заводский район;с. Бохто;;ул. Нагорная;23;3024042141;school.bochto@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913024750;1;61
225;МОУ Манкечурская СОШ;1,03E+12;7502001522;750201001;;;;;;674634;188;Александрово-Заводский район;с. Манкечур;;ул. Центральная;6;3024046235;in.repina@yandex.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю город Чита;;;;;;;;;3913024930;1;60
225;МОУ Шаранчинская СОШ;1,03E+12;7502001459;750201001;;;;;;674648;188;Александрово-Заводский район;с. Шаранча;;ул. Советская;1;3024044321;shs_shch.alkz@zabedu.ru;4,07E+19;Отделение Чита, г. Чита;;;;;;;;;20916Ч28970;1;59
225;МОУ Чиндагатайская ООШ;1,03E+12;7502001554;750201001;;;;;;674647;188;Александрово-Заводский район;с. Чиндаготай;;ул. Школьная;1;3024047146;shs_chin.alkz;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;20916ч28990;1;65
225;МОУ Бутунтайская ООШ;1,03E+12;7502001498;750201001;;;;;;674632;188;Александрово-Заводский район;с. Бутунтай;;ул. Школьная;1;3024045119;volkovabutuntay@yandex.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913002130;1;64
225;МОУ Маньковская ООШ;1,03E+12;7502001530;750201001;;;;;;674631;188;Александрово-Заводский район;с. Маньково;;ул. Кооперативная;;3024043236;unora2@yandex.ru;4,07E+19;ГРКЦ ГО Банка России по Забайкальскому краю;;;;;;;;;20916Ч28960;1;58
225;МОУ Савва-Борзинская ООШ;1,03E+12;7502001642;750201001;;;;;;674317;188;Александрово-Заводский район;с. Савва;;ул. Школьная;14;3024047160;c-bcoh@rambler.ru;4,01E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913024780;1;68
225;МОУ Кутугайская ООШ;1,03E+12;7502001586;750201001;;;;;;674648;188;Александрово-Заводский район;с. Кутугай;;ул. Центральная;3/1,3/2;30240нет;kutcoh@rambler.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913002130;1;67
